Pair,Handle,Title,Category,GMC Impressions (28d),GMC Clicks (28d),Group
1,teal-velvet-knot-pillow-new,Petrol Velvet Knot Pillow,Knot Pillow,221,0,CONTROL
1,citron-velvet-knot-pillow-1,Citron Velvet Knot Pillow,Knot Pillow,160,1,TEST
2,ivory-velvet-knot-pillow,Ivory Velvet Knot Pillow,Knot Pillow,246,1,CONTROL
2,burgandy-velvet-knot-pillow-new,Burgundy Velvet Knot Pillow,Knot Pillow,307,0,TEST
3,mauve-velvet-knot-pillow-new,Mauve Velvet Knot Pillow,Knot Pillow,762,0,CONTROL
3,sterling-grey-velvet-knot-pillow-new,Sterling Grey Velvet Knot Pillow,Knot Pillow,824,0,TEST
4,s-hull-basket-in-graphite-ultra-suede,(S) Hull Basket in Graphite Ultra suede,Hull Basket,25,1,CONTROL
4,m-hull-basket-in-graphite-ultra-suede-copy,(M) Hull Basket in Graphite Ultra suede,Hull Basket,25,0,TEST
5,l-hull-basket-in-cream-vegan-suede,(L) Hull Basket in Stone Ultra suede,Hull Basket,38,0,CONTROL
5,s-hull-basket-in-cream-vegan-suede,(S) Hull Basket in Stone Ultra suede,Hull Basket,50,0,TEST
6,m-hull-basket-in-red-earth-ultra-suede-copy,(M) Hull Basket in Red Earth Ultra suede,Hull Basket,178,1,CONTROL
6,m-hull-basket-in-cream-vegan-suede,(M) Hull Basket in Stone Ultra suede,Hull Basket,130,0,TEST
7,m-mauve-knot-floor-cushion-new,(M) Mauve Knot Ottoman,Medium Knot Cushion,751,0,CONTROL
7,m-burgandy-knot-floor-cushion-new,(M) Burgundy Knot Ottoman,Medium Knot Cushion,897,3,TEST
8,m-petrol-knot-floor-cushion-new,(M) Petrol Knot Ottoman,Medium Knot Cushion,1082,1,CONTROL
8,m-ivory-knot-floor-cushion-new-copy,(M) Ivory Knot Ottoman,Medium Knot Cushion,943,5,TEST
9,burgandy-velvet-woven-bench,Burgundy Velvet Woven Bench,Woven Bench,4480,28,CONTROL
9,mauve-velvet-woven-bench-1,Mauve Velvet Woven Bench,Woven Bench,4741,32,TEST
10,mauve-velvet-woven-stool-1,Mauve Velvet Woven Stool,Woven Stool,43,0,CONTROL
10,ivory-velvet-woven-stool-copy,Petrol Velvet Woven Stool,Woven Stool,28,0,TEST
11,citron-velvet-woven-stool,Citron Velvet Woven Stool,Woven Stool,235,0,CONTROL
11,burgundy-cherry-woven-stool,Burgundy Woven Stool,Woven Stool,276,0,TEST
12,l-citron-knot-floor-cushion-new,(L) Citron Knot Ottoman,Large Knot Cushion,3865,27,CONTROL
12,l-ivory-knot-floor-cushion-new,(L) Ivory Knot Ottoman,Large Knot Cushion,3859,17,TEST
13,l-sterling-silver-knot-floor-cushion-new,(L) Sterling Silver Knot Ottoman,Large Knot Cushion,4621,72,CONTROL
13,l-mauve-knot-floor-cushion-new,(L) Mauve Knot Ottoman,Large Knot Cushion,5530,21,TEST
14,set-of-3-baskets-cobalt-blue,Set Of 3 Baskets- Cobalt Blue,Set of 3 Baskets,1332,4,CONTROL
14,set-of-3-baskets-graphite-copy,Set Of 3 Baskets- Stone,Set of 3 Baskets,1189,13,TEST
15,set-of-3-baskets-ted-earth,Set Of 3 Baskets- Red Earth,Set of 3 Baskets,1863,17,CONTROL
15,set-of-3-baskets-red-earth-copy,Set Of 3 Baskets- Graphite,Set of 3 Baskets,3213,57,TEST
